,BHE ID,Vault,X,Y,Pipelength
0,1,1,6.02,49.93,17.5
1,2,1,15.08,51.43,10.0
2,3,1,24.14,49.93,8.3
3,4,1,33.2,49.93,17.8
4,5,1,42.26,49.93,27.5
5,6,1,51.25,49.93,36.5
6,7,1,60.32,49.93,45.5
7,8,1,22.98,41.07,4.0
8,9,1,10.65,35.27,10.0
9,10,1,22.91,32.0,21.0
10,11,1,6.08,27.5,28.5
11,12,1,15.15,27.5,20.5
12,13,2,22.98,14.0,60.0
13,14,2,35.58,6.77,40.5
14,15,2,44.65,6.77,31.0
15,16,2,53.64,6.77,21.5
16,17,2,62.63,6.77,12.0
17,18,2,71.69,6.77,3.0
18,19,2,80.75,6.77,3.0
19,20,2,89.75,6.77,12.5
20,21,2,98.81,6.77,21.5
21,22,2,107.8,6.77,31.5
22,23,3,115.5,11.48,33.5
23,24,2,106.58,16.32,40.0
24,25,2,91.04,16.32,23.5
25,26,3,98.81,20.82,15.5
26,27,3,114.41,20.82,23.5
27,28,3,106.64,25.32,11.0
28,29,3,91.04,25.39,19.0
29,30,3,98.81,29.96,6.5
30,31,3,114.41,29.82,16.0
31,32,3,106.64,34.45,3.0
32,33,3,98.81,38.95,5.5
33,34,3,114.41,38.89,15.0
34,35,3,91.04,43.52,18.5
35,36,3,106.58,43.52,24.5
36,37,3,98.81,48.02,15.0
37,38,3,114.41,47.95,23.0
38,39,3,78.3,49.93,37.0
39,40,3,69.31,49.93,46.0
